Región,Mar 2022,Dic 2022,Mar 2023,Diferencia % con trimestre anterior,Diferencia % con año anterior
Nacional,"66.2% (29,083,029)","64.2% (28,550,808)","62.1% (27,567,888)",-2.2 pp,-4.2 pp
ZM Guadalajara,"74.8% (2,430,366)","74.2% (2,444,596)","70.7% (2,348,798)",-3.5 pp,-4.1 pp
Guadalajara,"87.1% (1,175,368)","84.2% (1,181,025)","81.7% (1,149,088)",-2.4 pp,-5.4 pp
San Pedro Tlaquepaque,"68.9% (328,609)","64.7% (326,395)","62.3% (314,124)",-2.4 pp,-6.6 pp
Tlajomulco De Zuñiga,"67.8% (42,041)","66.5% (42,320)","68.0% (44,284)",1.5 pp,0.2 pp
Tonalá,"77.0% (275,770)","81.0% (286,903)","77.6% (274,610)",-3.4 pp,0.6 pp
Zapopan,"60.6% (608,578)","62.7% (607,953)","57.0% (566,692)",-5.6 pp,-3.6 pp
