Hábito,Mar 2022,Dic 2022,Mar 2023,Diferencia % con trimestre anterior,Diferencia % con año anterior
"Visitar
parientes o
amigos","17.2% (226,144)","16.2% (213,860)","17.1% (232,148)",0.9 pp,-0.2 pp
"Llevar cosas de
valor","49.6% (649,811)","44.6% (599,152)","43.4% (588,618)",-1.1 pp,-6.2 pp
"Caminar de
noche en
alrededores de
su vivienda","42.3% (550,900)","32.1% (422,335)","28.8% (393,153)",-3.3 pp,-13.5 pp
"Permitir que
menores salgan
de su vivienda","33.8% (189,429)","27.1% (132,155)","19.9% (204,895)",-7.2 pp,-13.9 pp
